variable,valor,KL_mediana,Top1,Top3,Top5,Recall3_Papa,Recall3_Cafe,Recall3_Cana_Panelera,cumple_KL,cumple_Top1,cumple_Top3,cumple_R3_Papa,cumple_R3_Cafe,cumple_R3_Cana_Panelera
TAU,0.05,0.641467631,0.786820045,0.890521686,0.98043738,0.997452566,0.99502336,1,False,True,True,True,True,True
TAU,0.1,0.597196102,0.774502663,0.905833321,0.970666781,0.994902056,0.970140158,1,False,True,True,True,True,True
TAU,0.128,0.567070007,0.787688807,0.902163099,0.982974642,0.995132802,0.978773106,1,False,True,True,True,True,True
TAU,0.15,0.584657311,0.561510742,0.896888641,0.961138959,0.980552744,0.95602275,0.999749185,False,True,True,True,True,True
TAU,0.2,0.603855371,0.74134213,0.899823391,0.952199039,0.968578575,0.932561446,0.996739403,False,True,True,True,True,True
EPS_SK,0.01,0.702760816,0.626739309,0.73196664,0.894153826,0.79079355,0.527625432,0.9917231,False,True,False,True,True,True
EPS_SK,0.05,0.620917439,0.771282293,0.91656789,0.967760593,0.974879474,0.915397116,0.972911964,False,True,True,True,True,True
EPS_SK,0.07,0.596834421,0.753419115,0.893337427,0.958394623,0.963628309,0.955108674,0.998745924,False,True,True,True,True,True
EPS_SK,0.093,0.597680449,0.778075299,0.908163508,0.967334542,0.994203665,0.958663417,0.99949837,False,True,True,True,True,True
EPS_SK,0.1,0.588551521,0.77948436,0.90833488,0.970966682,0.993099162,0.972882389,0.999247555,False,True,True,True,True,True
LR_INIT,0.05,0.605206132,0.571731193,0.90679491,0.969524299,0.994511327,0.965772903,0.995986958,False,True,True,True,True,True
LR_INIT,0.092,0.604617357,0.777094669,0.91252398,0.966998938,0.986721348,0.950944546,0.99949837,False,True,True,True,True,True
LR_INIT,0.15,0.606340408,0.781007669,0.909912933,0.967760593,0.993548347,0.966077595,0.999749185,False,True,True,True,True,True
LR_INIT,0.3,0.592026114,0.787391286,0.911374358,0.981510837,0.994385186,0.957343083,0.99949837,False,True,True,True,True,True
